id,restaurant_id,category_id
2764e4e1-ae84-4a2b-bb32-78efeb3b5186,05eb0ccc-dec0-db9a-ec0f-80015957c9a7,3764697a-f4e9-475a-b3e2-9ba296419090
532c54c5-83ea-40eb-a1db-417aac382af7,849df24e-5d6d-50cb-2444-c99c74e3ac90,3764697a-f4e9-475a-b3e2-9ba296419090
6e4727a0-c63c-4efc-b0a2-5d440be05924,6d5ae76f-e70e-6640-1281-e5ae0f8f8e50,3764697a-f4e9-475a-b3e2-9ba296419090
c40e6f83-edbf-4950-afec-7bbd0366a767,377eafc2-6a82-57e0-27ed-bebd1e37772b,3764697a-f4e9-475a-b3e2-9ba296419090
da547266-f963-4fad-994c-7f53a350ca10,d80db214-5ecf-f1c8-b4a8-ae0b5e672c04,3764697a-f4e9-475a-b3e2-9ba296419090
0b5a7531-26cc-4056-84d5-5c2dc144ca85,e6f99116-93fe-879d-2436-17c7109206ff,3764697a-f4e9-475a-b3e2-9ba296419090
27db586f-6604-4d89-bd6b-8548a72b9075,bab5317c-29ad-0d15-cd9a-8dfc7e180a29,3764697a-f4e9-475a-b3e2-9ba296419090
91ccebdf-9485-41bf-ba47-95a32a4ee796,efa8d536-7be0-fada-14e4-8e992381ddc5,3764697a-f4e9-475a-b3e2-9ba296419090
e14547bb-e83c-4dcb-9b6a-f12c46461c9a,83b09730-93c4-cd02-a817-a23ce89d9934,3764697a-f4e9-475a-b3e2-9ba296419090
f7a1003f-6331-4169-ad2d-66eebf95c159,c7b1b8cf-be5e-374b-0b25-5a4f31fe0f2e,3764697a-f4e9-475a-b3e2-9ba296419090
a0aa922c-4faa-4832-a969-697bbbba4833,5e7b4cde-8aaa-71b1-c65d-702920c68801,3764697a-f4e9-475a-b3e2-9ba296419090
336fe342-60ab-4ace-9946-60b383331a79,51cd42f4-7bb8-37a3-e41b-876d0af97750,3764697a-f4e9-475a-b3e2-9ba296419090
284cb9dd-78bf-41f3-bb0e-61d295714c42,b4fce7cb-c472-92de-0a9e-b7990ba29fe6,3764697a-f4e9-475a-b3e2-9ba296419090
5077147d-58e2-4387-a099-24063af4efa7,793bffbd-d296-17b7-6ad2-28c5eb419644,3764697a-f4e9-475a-b3e2-9ba296419090
c79accdf-0760-42c5-8b7f-621d00309015,298a7a4f-35b4-3132-1381-7945cf58145d,3764697a-f4e9-475a-b3e2-9ba296419090
527c97ce-8598-4dbf-acb6-8826fdd6e8b1,f7352a4a-2681-f1cd-9cc3-8a94ead4883f,3764697a-f4e9-475a-b3e2-9ba296419090
82954227-7169-4d4f-95bb-61f71103da6f,7d2d3dfb-9f40-3b83-b062-75e9ca35ae1b,3764697a-f4e9-475a-b3e2-9ba296419090
387582f0-f8a8-4f91-8d25-58180f2c5261,2e34192f-5381-9aa9-5931-8c3437d3affe,3764697a-f4e9-475a-b3e2-9ba296419090
d5a9cf94-8d9c-4bff-acf7-56e740b78f52,2a66c8a7-6864-a753-8d50-c49d393a1a95,3764697a-f4e9-475a-b3e2-9ba296419090
6aa881ac-4866-4659-8af7-3bfc133941f3,f736a78a-2a6b-01a2-28e4-dc19d6b5ff18,3764697a-f4e9-475a-b3e2-9ba296419090
0a5212ab-5ae2-4052-ad77-7b66a9e41917,08bd871c-83c6-dddb-bf55-e0b8e0515a49,3764697a-f4e9-475a-b3e2-9ba296419090
f3559f55-3564-434d-a985-28294cdf1fb2,afdccc83-6253-ef1e-6ad7-b1eb5deb3cd6,3764697a-f4e9-475a-b3e2-9ba296419090
983f421b-84c0-4e55-9888-175dc0189ad8,e290d6d9-fd47-2e2c-23fe-c60bca0b1d75,3764697a-f4e9-475a-b3e2-9ba296419090
3b7e95f3-3d78-46b5-b42f-9d23fe579f68,c8d6164c-3549-b0d2-2898-36b5b989bdf8,3764697a-f4e9-475a-b3e2-9ba296419090
8a796a41-bcc1-4d54-aac5-f61108bd7d72,288e157f-abce-779c-6412-bd06e14bdb2e,3764697a-f4e9-475a-b3e2-9ba296419090
