ID,GOOGLE_PLACE_ID,NAME,POSTAL_CODE,ADDRESS,CLOSED,LAT,LNG
B98A0018-BC52-8434-1577-C35030917349,ChIJkZunWZvmGGARdQOSVG15FUA,うどん屋 武,187-0045,東京都小平市学園西町１丁目２４−１１,FALSE,35.720695,139.4763377
5B151642-0867-8387-1539-CAF89B78BD3F,ChIJMSzCSn3yGGARo-r2LsyYIX4,肉汁饂飩屋 とこ井,166-0003,東京都杉並区高円寺南４丁目７−５ 久万乃ビル 1F,FALSE,35.7033175,139.6491285
9D1133D9-0818-0EC8-2C6B-2519A579485F,ChIJ9RDviQzPGGARjieaHDoyCj4,深山うどん,362-0001,埼玉県上尾市上３０３−４,FALSE,35.9956781,139.5747241
B474748C-C058-ADFD-F40B-C3D9C33DDC62,ChIJid_gzzHdHmARq2i4ixWnn-A,六助うどん,367-0017,埼玉県本庄市傍示堂５７５,FALSE,36.236697,139.2100355
10E6A6B6-EAA4-7845-9D44-42FF00536EBE,ChIJ0_Vw4ArEGGARJBZo5OGPTNs,藤店うどん,331-0052,埼玉県さいたま市西区三橋６丁目１４−７,FALSE,35.9106398,139.5904403
C118DE78-9201-6F97-7290-D33DFA8156EA,ChIJU36JXOjyGGARkKhQGrKkWds,四国屋,164-0012,東京都中野区本町４丁目３６−３ 長興新中野マンション,FALSE,35.6940762,139.6685658
3820FA89-6336-BEC7-AD51-4C9D73EF3C98,ChIJ56wJAQKTGGARHV2IHb4KpGo,手打うどん すみた,115-0042,東京都北区志茂２丁目５２−８ キヨハイツ,FALSE,35.7805002,139.7266233
AB797633-CBAE-7988-DAA4-46187E129262,ChIJd-gKcdKNGGARllynttDtDeM,汐満,113-0022,東京都文京区千駄木３丁目３７−３,FALSE,35.7250392,139.7633206
979BBDFC-ABE2-623F-213A-9AB2D626CC39,ChIJcVcDmrWRGGARsKsrmOe2w74,伊吹家,121-0064,東京都足立区保木間３丁目３６−１７,FALSE,35.7964417,139.8106093
E4C4506B-0E48-3B3E-DB5F-DC580BA5E2D9,ChIJVVVVVSyMGGAR_0pn6nUjGhw,饂飩 根の津,110-0001,東京都台東区谷中１丁目４−２,FALSE,35.7191935,139.7669152
B20B3BEC-8959-71A1-4D90-42BC6C284051,ChIJ7ZEMBAAXIWARBR2sMI7h0l0,うどん桜守,970-8021,福島県いわき市平中神谷清水４５−２,FALSE,37.069793,140.9294787
7F5802DB-80A5-ABD2-6189-4B970989483D,ChIJrYXQNWPXGGARTKDYlklRd1E,手打うどん 福笑い,350-2211,埼玉県鶴ヶ島市脚折町６丁目３０−３１,FALSE,35.9439319,139.3938798
06960F47-3ACB-F7E9-5B91-5471121C5F58,ChIJyZNBKxCTGGARt0tVdfdNpis,本格手打武蔵野うどん 麦といっぽ,173-0021,東京都板橋区弥生町２−３,FALSE,35.7505901,139.6950262
88E01621-969D-8B3D-EC98-8D691D738E95,ChIJx9uigSPRGGARdDShT7v4xZw,本手打うどん 庄司,350-0152,埼玉県比企郡川島町上伊草７４３−９,FALSE,35.9727927,139.4620866
F8F07A12-B581-445F-97D3-73F494E7475F,ChIJbbOqCIaLGGARm_RtQCEPqaE,うどん讃香,108-0014,東京都港区芝５丁目２６−２０ 1F,FALSE,35.6477419,139.7461901
7F49A6B8-C362-086A-6361-887BDDC287CA,ChIJIfWq0nr7GGARTiZmeVSWrlw,うどん丸喜(まるき),206-0812,東京都稲城市矢野口２２０８ ステーションサイドビル栗山 1階1号,FALSE,35.6332561,139.5167249
