ID,GOOGLE_PLACE_ID,NAME,POSTAL_CODE,ADDRESS,CLOSED,LAT,LNG
77014EA9-F947-9D42-E142-04D042A0B2D9,ChIJPa_fkaWFGGARnN7TKGi6i50,ら〜麺 瑞藤,271-0064,千葉県松戸市上本郷３３８６,FALSE,35.797877,139.9160762
F1DD263C-DD92-DDA4-26D0-4CD4CCCAAF34,ChIJ9-gIPDaMGGARkSYIWPRFyv4,信濃神麺 烈士洵名 東京店,113-0024,東京都文京区西片１丁目１５−６,FALSE,35.7113593,139.7535011
E75E7783-A710-2EC0-8376-12A39A114E50,ChIJKX6abyJhGGARYyG4dZYpKKA,ジンギスカン ひつじの木,143-0016,東京都大田区大森北１丁目３−９,FALSE,35.5874164,139.7287117
D2AE9C6C-600E-2D3A-8BDB-5A5193CEE93B,ChIJVVVg3G_yGGARx-rPd5Vppa8,麺処一笑,166-0004,東京都杉並区阿佐谷南１丁目９−５,FALSE,35.6985658,139.6385399
E88959B0-C8EB-5E49-4925-E8079B9EA2AF,ChIJ3VRE2pnlGGARVRbJuC3QAhY,Ramen Rouge,183-0011,東京都府中市白糸台5-25-1 車返団地第2-12 号棟-101号,FALSE,35.6617693936067,139.512571040493
72CA099A-7B20-7334-5AA8-ADA39CFAE0B9,ChIJJYtTMgCLGGARp8iNoF_8sKM,ラーメン四季,106-0032,東京都港区六本木５丁目１６−５ インペリアル六本木1号館 1F,FALSE,35.6616981,139.7353632
DDD26D7C-4B19-EBF1-CABF-680B1185A079,ChIJ8ZUUFvvtGGARmUyGSLWrlWQ,丸信,167-0043,東京都杉並区上荻１丁目２４−２２ シンエービル,FALSE,35.7071664,139.6163012
B462F99A-704A-9850-E016-0E4310C3E0AE,ChIJ4VkWALkpH2ARpLgZpC9JQnA,きくちひろき,360-0042,埼玉県熊谷市本町２丁目１２５,FALSE,36.1432634,139.3882376
E38EE690-3212-DD81-ADDC-73AF06EEE881,ChIJfy7HJwBfGGARLll72dG_yw0,中華そば領寿庵,211-0015,神奈川県川崎市中原区北谷町２０番地１０ ｢岩村ビル/2F｣,FALSE,35.5612201,139.6725147
806BE543-6805-3BE8-413C-42F9602C8BC6,ChIJK2OuegCBGGARFTRmHneSLhE,麺屋 青,273-0137,千葉県鎌ケ谷市道野辺本町１丁目１−１８,FALSE,35.7660208,139.9980221
